trial,plan iters,plan time,best cost
0,890,0.6701536178588867,2.1197094852778577
0,3090,2.4214541912078857,1.6192518325977878
0,4930,3.8138084411621094,1.5803967895051139
0,13810,10.515676736831665,1.5080340552861866
0,28910,22.358381986618042,1.3609985353128
0,29640,22.84766960144043,1.3422856197745399
0,38820,30,1.3422856197745399
1,760,0.5924170017242432,1.5237064218112486
1,24620,20.081376552581787,1.3878701749495532
1,37410,30,1.3878701749495532
2,6190,4.597186326980591,1.9735802368723463
2,6990,5.14336633682251,1.5749740377755659
2,25810,19.157426595687866,1.3241712504112222
2,39960,30,1.3241712504112222
3,1100,0.9498841762542725,1.9992800500788686
3,1540,1.2801759243011475,1.7708773831466063
3,2190,1.7213678359985352,1.5656035744924295
3,6210,4.685570955276489,1.2684737896479856
3,39550,30,1.2684737896479856
4,2220,1.6814990043640137,1.6054648873039665
4,4880,3.7018790245056152,1.3977949760266746
4,7160,5.392996549606323,1.349610948439803
4,39740,30,1.349610948439803
5,2020,1.7555279731750488,2.4162721479859464
5,2350,1.963458776473999,1.3608679893203508
5,31210,24.5776686668396,1.118482969690065
5,38270,30,1.118482969690065
6,1280,0.958667516708374,1.6817978185742264
6,15400,12.498377323150635,1.298369961840175
6,37190,30,1.298369961840175
7,770,0.6249735355377197,2.303479553583569
7,1110,0.8439502716064453,1.436165714318215
7,16400,13.036976099014282,1.3804877202206671
7,38270,30,1.3804877202206671
8,1740,1.5623362064361572,1.814528923984865
8,11660,9.485276937484741,1.7565062262162936
8,16870,13.378169775009155,1.752746898956982
8,19060,15.051365375518799,1.5974331998437825
8,19850,15.660311698913574,1.5551087261852807
8,22050,17.232397317886353,1.211824047688851
8,39470,30,1.211824047688851
9,1930,1.5232453346252441,3.170540926215696
9,2650,2.0506205558776855,1.4707577156582778
9,11470,9.058319330215454,1.3968252345067949
