trial,plan iters,plan time,best cost
0,530,0.5292308330535889,2.1536658167594855
0,1280,2.5452537536621094,2.1393823854320093
0,1330,2.7017295360565186,2.0718907125567605
0,1610,3.7257959842681885,2.06758534069465
0,2200,6.040672540664673,2.058226748698056
0,2860,9.140744686126709,1.9861987051125767
0,2920,9.424651861190796,1.9445196551872144
0,3710,13.808202028274536,1.4110061074502365
0,5600,30,1.4110061074502365
1,250,0.2019186019897461,1.3302532197082875
1,1070,2.268606424331665,1.1623245237989699
1,1300,3.1633474826812744,1.1231972059224624
1,4800,30,1.1231972059224624
2,930,1.0539753437042236,2.5159637106362256
2,1780,3.628110647201538,2.239059938133371
2,5890,27.414823532104492,1.4433833509723937
2,6150,30,1.4433833509723937
3,410,0.38423991203308105,2.6896677945967418
3,1030,1.7387826442718506,2.6528502135397187
3,2260,6.201881170272827,1.799428593219263
3,2480,7.405264377593994,1.761301506857502
3,3120,11.29156231880188,1.6508989342758005
3,4600,22.307424545288086,1.6104572620344844
3,5440,30,1.6104572620344844
4,1370,1.5918755531311035,1.7752439008442924
4,1870,2.969172716140747,1.7146720440246621
4,2000,3.391171455383301,1.4712314056733515
4,2580,5.272812366485596,1.4501855600769187
4,2670,5.601635217666626,1.4383855252774103
4,2850,6.395123481750488,1.4328248881975474
4,2960,6.824506998062134,1.4007366924983158
4,6510,30,1.4007366924983158
5,360,0.3085134029388428,1.9871856479631558
5,1100,2.034667730331421,1.401367889269281
5,2350,7.227160692214966,1.2778678838235018
5,5300,30,1.2778678838235018
6,1110,1.2014179229736328,1.9249861373142167
6,3420,9.370368003845215,1.8527614265763972
6,3630,10.34467339515686,1.6652148262447126
6,5630,22.032392263412476,1.4675954759160144
6,6720,30,1.4675954759160144
7,750,0.8366539478302002,2.071072328690545
7,830,1.0500032901763916,1.9981460644790454
7,1640,3.9927139282226562,1.9109453322659915
7,1880,5.159381866455078,1.7683501064639895
7,2230,6.779282808303833,1.7368195945547569
7,2520,8.415948390960693,1.6772961056532925
7,3170,12.196249961853027,1.4462042880903447
7,5380,30,1.4462042880903447
8,1000,1.2916648387908936,2.730559480929851
8,1220,1.9850354194641113,2.5323496043447293
8,2330,6.0060365200042725,1.642863399027819
8,4140,13.707468032836914,1.3845552382263981
8,5360,21.867780447006226,1.2473108378212334
8,6030,26.945621252059937,1.2379648251243864
8,6200,28.33775019645691,1.1974954262913815
8,6390,30,1.1974954262913815
9,460,0.49030065536499023,1.6094096443372823
9,2550,9.174895763397217,1.4497655164160734
9,5120,30,1.4497655164160734
